File Name,Sort Key,Language,Age,Overall Score,Question Number,Exam Score,Answer Text,Idea Density
doc1006.xml,TR7*0100*2000*01,Portuguese,26-30,24.0,1,3.1,"Cambridge 13.06.00
          Dear Helen Ryan,
          Competition Organiser
          I am glad to know about the news that I have received. It is a dream becamesbecome truedream come true and was really unexpected for me!
          I would like to travel onin July because of it is more suitable for me. I think I will really enjoy it if I couldcan stay in a tentstent it.  It is going to be a new experience and looks exciting.
          About the activities while at the Camp, I would like to enjoydo swimming, not because I am good inat it, just because I am keen on it and the other one is Photography.
          As I never did this in whole mymy whole life could you tell me if we have to domake our own meals or I cancan I find everything ready to eat there? If noIf not, what do you sugestsuggest? The same question for clothes and money. How much do I have to getput in my pocket?
          I hope has had your questions out of your mind.
          Yours sincerely",5.94
doc1006.xml,TR7*0100*2000*01,Portuguese,26-30,24.0,4,3.2,"Cambridge 13.06.00
          Dear friend
          Kim
          Last month, I enjoyed to helphelping at a pop concert in Portugal. Everything werewas new for me. I had to (lyd) tidy up the place where they have to wait untilfor their turn. The group asked me maketo make sure that in the fridge they always could find a bigwide variety of drinks including honey and lemon for the throat.
          OtherThe other thing I had to do iswas keep an eye inon the towels, I mean, drieddry towels because as you know that country is too hot, especially for my liking, asand they have to change the clothes and lookslook fresh; don't ask me why.
          The pop concert happened in a big stadium called ""Mararcanã"".
          I just did not enjoyedenjoy it when they were making the instruments work for the big day. But what I particularly liked was seeto see and ask for autographs from the rest of the othersother groupsto see the rest of the other groups and ask for their autographs. Don't be jealous, I will make a copy for you, OK?
          Love",5.83
doc1008.xml,TR8*0102*2000*02,Korean,<16,34.00,1,4.2,"Dear Ms Jane Clark.
          I am writing to you with regard to the International Art Festival that was held recently.
          The festival was excenentexcellent in many ways, and especiallyin particular it being an international festival was a challenging, but brilliant idea. I assume that this fact attracted people very much. In addition to that, organising one weekend with special price tickets was particularly good. I personally think that it helped many people who were not able to afford the tickets withat the propernormal price to come to the festival. Moreover, most of the events I went to were fantastic.
          However, I still have some comments to make to improve the festival next year. The festival was supposed to be an international one, but the artists and stars  who participated in it were from six countries only. Thus, I recommend that stars and artists of various nationalities should be invited. Also, some of the concert halls where the musicians performed were not big enough for the vast number of audiencesattendees. I think it would be much better to use bigger concert halls. Furthermore, I found that there were not many genres ofin neither the films noreither the films or the plays. So I suggest you have various kinds, and more numbers of plays and films next year.
          I hope that next year's festival will be much more successful thatthan this year's one.
          Yours sincerely,",5.92
doc1008.xml,TR8*0102*2000*02,Korean,<16,34.00,5a,5.2,"The Old Man and the Sea
          People all have different opinions about books. Some prefer realistic stories whereas others doprefer unusual ones. But I prefer realistic stories such as Ernest Hemingway's ""The Old Man and the Sea'.
          Above all, realistic stories teach me something ofabout the life, or at least influence me. As far as I'm concerned, my behaviour and attitudes towards a difficult situation began to change after reading this book. Here, the fishman is very old, but he is still challenging to everything he faces. When he caught a shark which was bigger than the ship, he never gave up on taking it back to his village, even when sharks were around him. Real stories have huge impacts on me, and affect me a lot, often in good ways.
          In addition to that, realistic stories are more attractive, I personally don't want to hear stories about very peculiar incidents as I know they cannot be true. But, while reading realistic stories, I just fall deep into the story, into the writer's own world. Ernest Hemingway's sentences are precise, but still very powerful and alive. So when I read about other sharks eating the shark the old man had caught, I got very angry and annoyed. Realistic stories thus, develop our imagination and creativity, which are essential in our lives.
          We all learn from reading books, but realistic stories have more influence on me and develop my personality. That's why I prefer realistic stories to unusual ones.",9.56
doc101.xml,TR9*0102*2000*01,Thai,16-20,21.0,1,3.1,"17th June 2000
          Dear Sir,
          I would like to complain about a musical show. I was very disappointingdisappointed during a weekweek's holiday for me because I had got a lot of problemproblems with the show.
          I had seen from the advertisement that the actors were Danny Brook and Tina Truelove, but it was not Danny Brook. I was really disappointingdisappointed because he is my famousfavourite actor.
          The musical should startedhave started at 19.30, but it started at 20.15. When I went to askedask for the discount ofon the ticket inat the cashier desk they told me no discount was available for this. I had seen the advertisement saysaying that a discount was available.
          After the show I decidedecided to hadhave dinner in your theatre restaurant, but I couldn't because it was closed. It closed at 10 pm but the show finished at 10.30 pm.
          This was not a perfect evening for me, so if you don't give me my money back, I will tell to the newspaper about it.
          I am looking forward to hearhearing asome good newnews.
          Yours sincerelyfaithfully,
          Boo Sersuwan.",5.6
doc101.xml,TR9*0102*2000*01,Thai,16-20,21.0,3,2.3,"I think in the next 100 years people will wear the space clothes with a small engine in the back., because of the atmosphere. The atmosphere inof the earth is now startingdeteriorating badly every yearsyear.
          The level of carbon dioxide areis growing very fast and people cut down more trees, therefore there are not enough trees to suchabsorb the carbon dioxide and produce oxygen.
          The designerdesigners will have a lot of ideaideas forabout how to make very nice and useful clothes. I think if we wear thisthese clothes we will travel to every whereeverywhere easier than we use cars, ships, planes and space shipsspaceships. This meanmeans the engineering will find the way to useless petrol for it, so it must useful in the future.
          I think somebody will make a very big area to grow plantplants becauseso they can sell the oxygen. This iswill be a new business.
          I think I can win this priceprize, because thisthese clotheclothes will producebe produced in the future soonsoon in the future.",5.42
doc1011.xml,TR10*0102*2000*01,Spanish,16-20,23.0,1,2.3,"17/06/00
          mr. MANAGER
          MY NAME is JAMES CAMIREZ AND I'AMI AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLEINTSCOMPLAINTS FORREGARDING THE DISAPPOINTING EVENING I HAD LAST NIGHT.
          FIRST OF ALL, ONIN THE ADVERTISEMENT FOR THE SHOW IT SAYSSAID THAT THE ACTOR WAS GOING TO BE DANNY BROOK AND INSTEAD OF HIM THERE WAS A TOTALLY UNKNOWN CLOWN THAT HAD NO IDEA OF HOW TO ACT,. IT WAS HORRIBLY DISAPPOINTING!
          SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY APPEARSSTATES THAT THE SHOW STARTS AT 19.30, AND I GOT HEAVILYREALLY MAD WHEN I LOOKLOOKED AT MY WATCH AND NOTICENOTICED THAT I HAD BEEN WAITING FOR 40 (FORTY) MINUTES AND THE SHOW DIDN'THADN'T STARTSTARTED YET...I MEAN IIT WAS AMAIZINGAMAZING!
          THEN I READ ONIN THE ADVERTISEMENT, ""DISCOUNTS AVAILABLE"", AND I DIDN'T GOTGET ANY DISCOUNTS WHEN I ASKED FOR THEM.
          AFTER THE SHOW I GOT OUT OF THE SHOW ROOM DEEPLY DISAPPOINTED AND WENT TO THE RESTAURANT TO DRINK SOMETHING TO RELAX, AND DO YOU KNOW WHAT?.. IT WAS CLOSED! I COULDN'T BELIVEBELIEVE IT. HOW THIS CLASS OF THEATRE CANCAN THIS CLASS OF THEATRE BE SO .. OH I'M GETING MAD AGAIN SO I'AMI AM GOING TO TELL YOU THEONE LAST THING, IT WAS THE MOST HORRIBLE NIGHT I HAD EVER GOTHAD SO I DEMENDDEMAND FOR MY MONEY BACK!",5.05
doc1011.xml,TR10*0102*2000*01,Spanish,16-20,23.0,4,3.1,"I THINK THAT MODERN TECHNOLOGY HAS AFFECTED ALL THE HUMAN BEINGS. MODERN TECHNOLOGY HAS AFFECTAFFECTED ME IN SEVERAL WAYS,. I MEAN THE MORE THE TECHNOLOGY MODERNIZESADVANCES; THE MORE CONFORTNESSCOMFORTCOMFORTABLE WE GET. NOW WITH MODERN MACHINES I CAN MAKE A BETTER USE OF MY TIME,. IF I'AMI AM LATE TO GO TO TRAINING AND I HADN'THAVEN'T ITEATEN YET I JUST TAKE MY FOOD AND PUT IT IN THE MICROWAVEOVENMICROWAVE OVEN. ANOTHER EXAMPLE IS THE COMPUTERS,. I THINK THEY ARE ONESOME OF THE MOST ADVANCED MACHINEMACHINES IN THE WORLD,. YOU CAN LIVE YOUR ENTIRE LIFE IN A HOUSE WITHOUT GOING OUT, BY JUSTJUST BY USING THE INTERNET,. IT HAS ALSO HELPED ME INWITH MY SCHOOL HOMEWORK,. I MEAN IT'S INCREDIBLE THE TIME YOU WAISTWASTE BY MAKINGDOING THINGSOMETHING WITHOUT A COMPUTER. BUT I THINK ALSO THAT WITH MODERN TECHNOLOGY WE GET MORE COMFORTABLE SO THAT MAKES ME A PACIVEPASSIVE PERSON AND NOT SO ACTIVE,. THIS CAN BE BAD TOTOO BECAUSE IF I GET USED TO BEBEING CONFORTABLECOMFORTABLE, WHEN I NEED TO DO HARD WORKSWORK I WON'T BE ABLE TO DO THEM.",8.71
doc1015.xml,TR11*0100*2000*01,Chinese,16-20,37.0,1,4.1,"1th1ST, June,1ST June 2000
          Dear Ms Ryan,
          I am writing to reply to your letter and I am so gladpleased to winhave won the prize. Thank you very much!
          In answer to your questions: I would like to travel in July. I am a full-time student, my summer holidays begin at the end of June and I have planned to work on my grandfather's farm in August. So July is the only time I will be free. Secondly, I would prefer tents to log cabins. Camping is my enthusiasmhobby and I sleep in tents every time I go camping. Therefore, I am afraid I can't get used to log cabins easily. Besides camping, I also like painting. My Dad is an amateur painter, and I have begunbeen painting for 8 years. I'm good at portraits and landscapes. I would also like to play golf during my holiday, but I have never played it before, will. Will I get any tuition?
          Finally, I should like to ask some questions. HowWhat is the weather like in California in July? What kind of clothes should I pack? If I want to buy some gifts, how much money should I take and can I use traveller's cheques in every place?
          I am looking forward to hearing from you.
          Yours sincerely,",8.84
doc1015.xml,TR11*0100*2000*01,Chinese,16-20,37.0,3,5.2,"Shopping is not always enjoyable
          Our lives are getting better and better, so people beganhave begun to go shopping more frequently. It's always a great jobtreat to go home with bags of purchases, but is it doing us any good apart from the temporary satisfaction?
          Everyone likes salesales, but those so-called sale items are not really ofgood value. In the fashion industry, salesales beginsbegin at the end of each season and just lastslast a short time, because those ownersretailers want to make room for new stock. But you'll find your 'cool bargain' soon getgets out of date and you have to keep buying new ones. Also supermarket owners have put ininvested a vast amount of money to find out the best way to place goods in order to get the most profit. Therefore, we become impulsive buyers easily under the influence of these tricks. The result, is we feel guilty after spending more than we've estimatedexpectedwe expected, or even suffer from financial difficulty.
          Shopping does not just effectaffect us mentally, but also physically. It's not hard to realise how exhausted we are after a day of shopping. Think of the awful crowds, the busy car parks, polluted air in the city centres and mile-long queues in front of the cash desks. I don't think anyone would really likereally likes to face them. But once you get there, they're just inevitable, aren't they?
          Well, now before you go shopping, think again and you'll find outrealise it won't be alwaysalways be enjoyable.",5.04
doc1017.xml,TR12*0102*2000*01,Thai,26-30,15.0,1,1.3,"Dear Manager,
          I'm a person, who went to see the musical show,. I would like to know something about the ""Over the rainbow"" programme?.
          You have informed the actor, times, discount and the restaurant to people, but actually what did you do?
          The firstFirst, you have changed the actor.
          The secondSecond, the time is late from 19.30, it started 20.15.
          The thirdThird, the tickets have not the discount.
          The lastLast, after the show, I couldn't go to the restaurant, because it was closed.
          What's happened? This is the good theatre do, or not? This is thea famous theatre. You know, What did people feel? Everybody attented go to the show, funny, and happhappy in the end, and what have we go then? DisappontedDisappointed! ThankThink about that. If you can notcannotcould not managedmanage the programeprogramme, why diddidn't you informeinform people before the programeprogramme startstarted?
          I toughtthought you inderstoodunderstood'; please send money back to me, you know why, don't answer me?
          Thank you,",6.96
doc1017.xml,TR12*0102*2000*01,Thai,26-30,15.0,4,1.3,"Now we know, our world havehas developed to new world, becasebecause we have high technology to do.
          If we came back to the past, we felt everything, it was so difficult to do, we would have plane and done by ourselfourselves and last time.
          In the presentToday, the teachnologytechnology is a pastpart of life. It started from got up in the morning, we have the machine help us to cook, iron, cleanningcleaning, washing, and then we went out to work, there are car, sky train to travel for help us convenience and quickly.
          While we workedwork at the office, there are the computer and equipment for helpto help us to work and easy, after. After we have finished work, we come back home, and there areis the television for get information, news, data by different way and quickly.
          How has modern technology changed your dailyeveryday life?
          We appreciated the mordernmodern technology changed my daily life for help every easy and quickly, we have time to do many things.",2.62
doc1018.xml,TR13*0100*2000*02,Portuguese,21-25,21.00,1,2.3T,"Dear Mr Robertson,
          Regarding the programme you have organised, it is a great ideasidea everything that you have planedplannedeverything that you have planned is a great idea, but I would like to suggest to you something that the students saw in an advertisement.
          It is a good start to go on a sightseeing by bus on Monday morning, because we can sesee all the famous buildings in a few hours. It'sIt seemsiswill be relaxing to go to Greenwich in the afternoon looking thoughthroughover the river.
          The idea aboutof going to the science museum is fantastic,. I read about the museum, and it is really interesting infor science historythe history of science. After all morning in the Museummuseum, it is wonderful and on tuesdayTuesday doing some shopsshopping, whereas the studentstudents have another idea for tuesdayTuesday.
          On Wednesday after we have visetedvisited the nationalNational Art Gallery, we can have a chat about oursour next holiday atduring the free time in the afternoon.
          The advertisement that the students saw is aboutfor a fashion show, but to go to the show you will need cancelto cancel the tour on tuesdayTuesday and add the show, because the show is from 10.00 to 19.00.
          I look forward to hearing from you.
          Yours faithfullysincerely,",3.19
doc1018.xml,TR13*0100*2000*02,Portuguese,21-25,21.00,2,2.2,"Freedom!
          Nowadays the main attroctionattraction in the newspapers and on television is the private lifelives of famous people.
          It is really interesting how people like knowingto know about famous peoplepeople's lifelives. Without someone famous knowknowing, photographsphotographers take pictures secretly, and try to get money onfor itthem.
          Sometimes being famous can get stressstressful, because everywhere they go there are people around them, especially journalists, trying to ask millions of questions.
          Famous people deserve to have freedom to do whatever they want, but it is quite difficult to do thingthings in a public places, because nobody likelikes seeing famous politicians or film stars without asking questions.
          On the whole, to bebeing rich and famous don'tdoesn't always bring happenesshappiness, whereas the majority of the population wish they were rich and famous.",2.58
doc1019.xml,TR14*0102*2000*01,Italian,21-25,32.0,1,4.1,"Dear Sir or Madam
          I am writing to complain about the musical show ""Over the rainbow"", which was performed in your theatre two weeks ago.
          I went to see it on 5th June 2000. First of all, that evening there was not Danny BrookDanny Brook was not there that evening but an unknown and not very good actor. Secondly the show started 45 minutes late. Then at the tickets-officeticket-officeticket office I was saidtold that no discounts were available so I had to pay the full prizeprice despite the fact that I am a student.
          Finally I would have had dinner at the theatre restaurant if it had not been alreadyalready been closed because the show finished, obviously, late.
          I am really not satisfied with the show-organizationorganisation of the show particularly because in the advertisement you wrote something differentfalse. For this reason I expect to receive my money back.
          Yours faithfully",5.0
doc1019.xml,TR14*0102*2000*01,Italian,21-25,32.0,2,4.1,"Unfortunately, Pat wasn't good at keeping secretsecrets.
          Last week we had another demostrationdemonstration of this.
          On Monday we decided to organize a surprise-partysurprise party for Ted's birthday on Tuesday evening.
          Each of us had a different task. Anna preparedmade the cake, Peter organized the music, Heather and I went to buy the present; Pat said: ""OK, I'll phone to some of Ted's friends to invite them"". Obviously Ted should not have known nothinganything about it and we rememberedreminded it to Patreminded Pat of that twice: ""theThe party is a secret!!"" and she said: ""Yes, it must be a surprise!""
          On Tuesday afternoon we met to preparearrange the last details; Pat said: ""I've just phoned to Tommy, Billy and Alison and I met Ted yesterday evening: they all have said okOK for the party..""
          InAt that moment she understood that something was wrong!",2.25
doc102.xml,TR15*0100*2000*02,Korean,21-25,23.00,1,2.3,"Dear Mr Robertson,
          Thank you for organising a good programme, we especially like sightseeing from River trip to Greenwich in London for three days. I am writing on behalf of my classmates to give you the information ofabout 'The London Fashion And Leisure Show' which we would like to go to and to huggestsuggestoffer our opinion.
          We have seen an advertisement ofin last SaturdaySaturday's 'The Times' edition of the show. It will be held in Central Exhibition Hall, London oron Tuesday March 14 from 10.00 to 19.00. Firstly, it will introduce the latest fashions connecting MilleniumMillennium. Secondly, we will be able to see leisure and sports wearsportswear about fashion trend of next year. It would be a fantastic opportunity tofor the students who study a fashion. Finally, we can see how to do make upmake-up and makecreate better hairstylehairstyles in the show. Most of all, Itit is free for students to enter.
          We would like to know if it is possible to change your programme. We would be grateful if we could go there in the afternoon on 14 March because we are able to go shopping.
          We look forward to hearing from you.
          Yours Sincerely,",8.21
doc102.xml,TR15*0100*2000*02,Korean,21-25,23.00,4,3.1,"It was dangerous, but I knew I had to do it.
          Whenever I recolletrecollect it, I feel self-confident. When I was twenty years old, I had to go tointo the Army. As you know, my country has been separated into two countries (South and North Korea). However, instead of going tointo the Army, I was able to apply to join the Korea Auxiliary Police.
          One year later, I was working in Kang-nam police station in Seoul. Suddenly, the theft signalburglar alarm came intoon. So, another policeman and I had to arrive at the accident place quickly. When we arrived at the place whichwhere it happened, one man started running away. Without any thought, I ran quickly like a swallow. Then, he tried to go over the wall, I held his leg. He fell down and we had to stare at each other. After we fought for a minute, I was able to arrest him. As a result, I could go on vacation. When I said totold my mother, she asked me not to do it again.
          But, I was a police-manpoliceman. Therefore, I had to do it in spite of it being dangerous.",11.87
doc1021.xml,TR16*0100*2000*01,Portuguese,21-25,28.0,1,4.1,"Dear Competition Organiser,
          I am writing to replayreply to your letter and to ask for more details about the competition.
          Firstly, I would like to say that I'm very glad to have been choosenchosen and I will do my best for this competition.
          As you asked in the letter, I would like to travel only onin julyJuly because I work at the central library and I'm also having English classes, so I will just have holidays onin July. Is itthat suitable for you?
          As you mentioned about the accomodationaccommodation, I would prefer stayto stay in thea tentstent, because it's more exciting and I really love camping.
          I examined all the activities that you listed and I was disappointed to have to chosechoose just two of them because in my opinion I'm good inat almost all of thisthese activities. However, I would choose sailing because I am facinatingfascinatingfascinated with the sea and it'sits misteriesmysteries and I also like the watterwater, the wind in my face... The other one I would choose is basketball becousebecause I'm tall and very fast with the ball.
          Finally I would like to know what kind of clothes are wewe are supposed to wear there, and about the money we are supposed to bring to pay for food and things like that.
          I'm looking forward to receiving your prompt replayreply.
          sincerely
          Clara",3.11
doc1021.xml,TR16*0100*2000*01,Portuguese,21-25,28.0,4,3.2,"Dear Kim,
          I am writing to tell you some news and to ask a little bit about you.
          First of all, I'm going to tell the good news. Last month, I went to a pop concert with four bands playing. It was unbeliveblyunbelievablyunbelievable!!!
          Although itthere waswere 5.0005,000 thousand people there, people could walk and dance without any problem. It was very well organised, the.  The showsshow started in the exactly on time and the group were well performedperformed well too. I have contributedcontributed to the concert by selling some tickets to my friends.
          However great the success of the concert, at the end of the show some full gays started a big confusion and some people getgot hurt. It was depressing...
          Finally, I would like to know some news about you,. What have you done? BeAre you studingstudying a lot?
          Please write me a letter as soon as possible!
          Love from
          Clara.",6.51
